Sr No,Text,Original sentiment Score,Predicted Sentiment Score,S-Precision,S-Recall,Sentiment F1 Score,S-Accuracy,Word-Sentiment Pairing,sentiment-score pairing
1,i dont face anything,NIL,NIL,1,1,1,1,NIL,NIL
2,"i prefer to study in school as we have been developed this system. online classesdiatracts and we kiss the joy of schooling as i feel i am at home just doing my homework
",NIL,NIL,1,1,1,1,NIL,NIL
3,"my study speed is too slow due to which i feel deep sorrow. i cant study more than 3 hrs that is also reason for my depression ,the bothers like television sound,communication of my family members and also vehicles sound in front of my house totally distract me from my study.i never feel pressure about my study  but it is true that sometimes i feel that i am doing very less study comparatively to my classmates . sometime i feel confuse due to distict heory of same topic given by two different teachers.sometime i hesitate to ask questions in class because i am thinking so my questions are silliest ones .","sad,depressed,tired,distracted,low confidence","depressed,sad,tired,low confidence,distracted",1,1,1,1,"{'slow': 'tired', 'sorrow': 'sad', 'cant study': 'low confidence', 'television': 'distracted', 'depression': 'depressed', 'distract': 'distracted'}","{'tired': 60, 'sad': 80, 'low confidence': 80, 'distracted': 98, 'depressed': 100}"
4,"actually now due to current pandemic corona situation we are facing so many problems while studying 
1. online classes irritate many times.
2. social application like whatsapp , instagram,facebook are disturbing in studies.
3.parents are expecting more from us.",NIL,NIL,1,1,1,1,NIL,NIL
5,idk,NIL,NIL,1,1,1,1,NIL,NIL
6,"doing same and regular pattern of studies .like .sit in your front of parents,take book in hand and learn it as you daily. from this we cant enjoy the learning , not an joyfully means visiting studies spot , not have visualisation in studies make us feel in deep sorrow
a big answer , unnecessarily points in it , doing the studies for only paper not for knowledge,some rules and regulations that write the answer in short not .not in brief if you can.. only  learn from digest target not from your own notes makers irritated
the bothers like , the disturbance of vehicles created by them . are one of the one bothers that make sorrow us.no generally in our home the pressure was not created to do study because doing regular studies makes man unfit. distraction like mobiles tv is any gadgets makes us  unfamiliar to studies. the confussion like different answer of same question by different teacher. yes i hesitate to ask questions in class because is the question is arrogant or not familiar to answer.yes i compare myself by others because the other people's indirectly give us tont that he/she is better than you...","anxious,upset","upset,anxious,angry",0.666666667,1,0.8,0.965517241,"{'hesitate': 'anxious', 'arrogant': 'angry', 'compare': 'upset'}","{'anxious': 80, 'angry': 80, 'upset': 80}"
7,"1. fear about future
2. when i make the same mistake many times 
3. marks ofcourse 
4. yes, cgpa
5. mobile phone 
6. yes, i think my attention diverts too quick 
7. no
8. yes i hesitate a lot
9. no
10. yes my parents, friends and me too. ","distracted,anxious","anxious,distracted",1,1,1,1,"{'divert': 'distracted', 'hesitate': 'anxious'}","{'distracted': 80, 'anxious': 80}"
8,"4. no
5. lack of concentration
6. no",NIL,NIL,1,1,1,1,NIL,NIL
9,my issues - i am suffering through a lot of things i cant explain to my parents nor can i ask my parents for a therapist because my parents will try to help me and i cant tell it to them,"sad,confused,nervous","confused,sad,nervous",1,1,1,1,"{'suffer': 'sad', 'cant explain': 'confused', 'cant tell': 'nervous'}","{'sad': 80, 'confused': 80, 'nervous': 70}"
10,"i feel education is a necessity for a person so i dont believe in dropping out of high school as of now. although i dont like the education system followed here, i mean sitting between four walls and learning things 'by heart' doesnt make sense to me. if the whole aim of learning was to replace my heart with my textbooks then i could have done it myself. why was schooling introduced. the main problem faced for me is the pressure from everyone to always know what to do in future. the society always expects us to not think about growing up then when we enter 10th they all want us to decide our careers, that's really stressful. the main distraction is probably the internet. we are busy being fascinated by others life that we forget that we too have a life which we can live to the fullest .","hate,irritable,anxious,upset","upset,irritable,anxious",1,0.75,0.857142857,0.965517241,"{'dont like': 'irritable', 'doesnt make sense': 'upset', 'problem faced': 'irritable', 'pressure': 'anxious'}","{'irritable': 65, 'upset': 70, 'anxious': 80}"
